pt_root_id,strategy,cell_type,Exc/Inh,num_synapses
864691135308929350,axon_partially_extended,L6tall-c,Exc,153
864691135163673901,axon_fully_extended,L5b,Exc,1591
864691136812081779,axon_interareal,L3a,Exc,1045
864691136090326071,axon_fully_extended,L5b,Exc,2074
864691136195284556,axon_fully_extended,DTC,Inh,4584
864691135479404742,axon_interareal,L5NP,Exc,1171
864691135975539779,axon_interareal,L3a,Exc,1422
864691136210344892,axon_interareal,L6short-a,Exc,1021
864691135975633475,axon_interareal,L5b,Exc,481
864691135497743635,axon_interareal,L3a,Exc,996
864691136108938168,axon_interareal,L3a,Exc,1152
864691136023889209,axon_interareal,L4b,Exc,1081
864691135212863360,axon_fully_extended,DTC,Inh,8110
864691136309871706,axon_interareal,L2c,Exc,930
864691136903144370,axon_interareal,L6short-a,Exc,1004
864691135572530981,axon_interareal,L5ET,Exc,443
864691135857099310,axon_partially_extended,L5a,Exc,919
864691135915343462,axon_interareal,L4c,Exc,1088
864691135816565839,axon_interareal,L3a,Exc,865
864691135384285931,axon_partially_extended,L3b,Exc,915
864691135700409211,axon_interareal,L4a,Exc,918
864691135474060082,axon_fully_extended,L3a,Exc,1081
864691135749141801,axon_interareal,L3a,Exc,888
864691136990522517,axon_interareal,L3b,Exc,736
864691135256861871,axon_fully_extended,L5b,Exc,862
864691136137834877,axon_interareal,L2a,Exc,1873
864691135772053835,axon_interareal,L2b,Exc,481
864691135701624699,axon_interareal,L3a,Exc,579
864691136391623039,axon_interareal,L5a,Exc,460
864691135593659947,axon_interareal,L4a,Exc,665
864691135699487522,axon_fully_extended,DTC,Inh,14019
864691135361314119,axon_fully_extended,L2c,Exc,657
864691135361291591,axon_fully_extended,L4c,Exc,3354
864691136023980601,axon_interareal,L5a,Exc,812
864691136025099065,axon_fully_extended,L3a,Exc,1658
864691135753932237,axon_interareal,L4b,Exc,711
864691136118294692,axon_fully_extended,Unknown,Unknown,3980
864691135938843445,axon_interareal,L3a,Exc,629
864691135848030814,axon_interareal,L3b,Exc,528
864691136107318489,axon_partially_extended,L4c,Exc,250
864691135619317391,axon_partially_extended,L4b,Exc,753
864691134884807418,axon_interareal,L3a,Exc,571
864691135440543560,axon_interareal,L3b,Exc,591
864691136066631832,axon_interareal,L3b,Exc,638
864691136107283417,axon_partially_extended,L4a,Exc,905
864691135233242713,axon_interareal,L5a,Exc,657
864691135807579933,axon_interareal,L4a,Exc,619
864691135479833030,axon_partially_extended,L4b,Exc,1079
864691135503443549,axon_partially_extended,L4b,Exc,684
864691136925601354,axon_interareal,L3b,Exc,623
864691135114178969,axon_fully_extended,L5b,Exc,1097
864691135517531786,axon_interareal,L3a,Exc,409
864691135938604804,axon_fully_extended,L3a,Exc,1303
864691135655390658,axon_fully_extended,L2a,Exc,371
864691135118918109,axon_fully_extended,DTC,Inh,2164
864691135738047620,axon_fully_extended,L5b,Exc,955
864691135572082925,axon_fully_extended,DTC,Inh,9483
864691135782544435,axon_partially_extended,L5ET,Exc,969
864691136089194039,axon_interareal,L5ET,Exc,532
864691135724393131,axon_interareal,L5a,Exc,337
864691136238652476,axon_fully_extended,L5b,Exc,1804
864691135489434682,axon_fully_extended,L5a,Exc,655
864691135272206865,axon_interareal,L3a,Exc,494
864691135919645872,axon_interareal,L5a,Exc,530
864691135492613471,axon_fully_extended,L2b,Exc,290
864691136974813212,axon_fully_extended,L4c,Exc,976
864691135866145244,axon_partially_extended,L4b,Exc,751
864691135462420637,axon_interareal,L4b,Exc,426
864691135851839687,axon_interareal,L4c,Exc,432
864691136066069400,axon_interareal,L2c,Exc,235
864691136991202453,axon_fully_extended,L5ET,Exc,1048
864691135469422674,axon_interareal,L3b,Exc,955
864691135782702387,axon_interareal,L2c,Exc,809
864691135382556378,axon_interareal,L5ET,Exc,374
864691135446065810,axon_fully_extended,DTC,Inh,4839
864691135360096071,axon_interareal,L5a,Exc,320
864691135577202181,axon_fully_extended,DTC,Inh,2793
