pt_root_id,strategy,cell_type,Exc/Inh,num_synapses
864691135308929350,dendrite_extended,L6tall-c,Exc,3155
864691135163673901,dendrite_extended,L5b,Exc,2823
864691136812081779,dendrite_extended,L3a,Exc,7079
864691136090326071,dendrite_extended,L5b,Exc,3185
864691136195284556,dendrite_extended,DTC,Inh,4094
864691135479404742,dendrite_extended,L5NP,Exc,885
864691135975539779,dendrite_extended,L3a,Exc,6814
864691136210344892,dendrite_extended,L6short-a,Exc,5022
864691135975633475,dendrite_extended,L5b,Exc,4483
864691135497743635,dendrite_extended,L3a,Exc,7041
864691136108938168,dendrite_extended,L3a,Exc,6651
864691136023889209,dendrite_extended,L4b,Exc,1196
864691135212863360,dendrite_extended,DTC,Inh,6363
864691136309871706,dendrite_extended,L2c,Exc,6278
864691136903144370,dendrite_extended,L6short-a,Exc,3029
864691135572530981,dendrite_extended,L5ET,Exc,7135
864691135857099310,dendrite_extended,L5a,Exc,5931
864691135915343462,dendrite_extended,L4c,Exc,2000
864691135816565839,dendrite_extended,L3a,Exc,4097
864691135384285931,dendrite_extended,L3b,Exc,2580
864691135700409211,dendrite_extended,L4a,Exc,2923
864691135474060082,dendrite_extended,L3a,Exc,5167
864691135749141801,dendrite_extended,L3a,Exc,5906
864691136990522517,dendrite_extended,L3b,Exc,4596
864691135256861871,dendrite_extended,L5b,Exc,2429
864691136137834877,dendrite_extended,L2a,Exc,10079
864691135772053835,dendrite_extended,L2b,Exc,4040
864691135701624699,dendrite_extended,L3a,Exc,5505
864691136391623039,dendrite_extended,L5a,Exc,4312
864691135593659947,dendrite_extended,L4a,Exc,2746
864691135699487522,dendrite_extended,DTC,Inh,6841
864691135361314119,dendrite_extended,L2c,Exc,3208
864691135361291591,dendrite_extended,L4c,Exc,3169
864691136023980601,dendrite_extended,L5a,Exc,4825
864691136025099065,dendrite_extended,L3a,Exc,5102
864691135753932237,dendrite_extended,L4b,Exc,1425
864691135938843445,dendrite_extended,L3a,Exc,4301
864691135848030814,dendrite_extended,L3b,Exc,3967
864691136107318489,dendrite_extended,L4c,Exc,1948
864691135619317391,dendrite_extended,L4b,Exc,1933
864691134884807418,dendrite_extended,L3a,Exc,7006
864691135440543560,dendrite_extended,L3b,Exc,1913
864691136066631832,dendrite_extended,L3b,Exc,3360
864691136107283417,dendrite_extended,L4a,Exc,3209
864691135233242713,dendrite_extended,L5a,Exc,6160
864691135807579933,dendrite_extended,L4a,Exc,2453
864691135479833030,dendrite_extended,L4b,Exc,1804
864691135503443549,dendrite_extended,L4b,Exc,978
864691136925601354,dendrite_extended,L3b,Exc,2479
864691135114178969,dendrite_extended,L5b,Exc,2358
864691135517531786,dendrite_extended,L3a,Exc,5043
864691135938604804,dendrite_extended,L3a,Exc,5849
864691135655390658,dendrite_extended,L2a,Exc,3517
864691135118918109,dendrite_extended,DTC,Inh,4548
864691135738047620,dendrite_extended,L5b,Exc,1861
864691135572082925,dendrite_extended,DTC,Inh,6208
864691135782544435,dendrite_extended,L5ET,Exc,10018
864691136089194039,dendrite_extended,L5ET,Exc,8285
864691135724393131,dendrite_extended,L5a,Exc,5256
864691136238652476,dendrite_extended,L5b,Exc,2970
864691135489434682,dendrite_extended,L5a,Exc,3953
864691135272206865,dendrite_extended,L3a,Exc,3108
864691135919645872,dendrite_extended,L5a,Exc,4583
864691135492613471,dendrite_extended,L2b,Exc,2574
864691136974813212,dendrite_extended,L4c,Exc,1753
864691135866145244,dendrite_clean,L4b,Exc,2459
864691135462420637,dendrite_extended,L4b,Exc,1712
864691135851839687,dendrite_extended,L4c,Exc,2417
864691136066069400,dendrite_clean,L2c,Exc,4910
864691136991202453,dendrite_extended,L5ET,Exc,15326
864691135469422674,dendrite_extended,L3b,Exc,3384
864691135782702387,dendrite_clean,L2c,Exc,2304
864691135382556378,dendrite_extended,L5ET,Exc,9908
864691135446065810,dendrite_clean,DTC,Inh,7136
864691135360096071,dendrite_clean,L5a,Exc,2967
864691135577202181,dendrite_extended,DTC,Inh,4661
864691136227484753,dendrite_clean,L3b,Exc,4205
864691135940847270,dendrite_clean,L3b,Exc,3279
864691135518791818,dendrite_extended,PTC,Inh,11598
864691136137140093,dendrite_clean,L5ET,Exc,7782
864691135279452833,dendrite_extended,DTC,Inh,2033
864691135257404079,dendrite_clean,L3a,Exc,5409
864691136451224831,dendrite_clean,L3b,Exc,5336
864691135809608652,dendrite_extended,L5ET,Exc,4542
864691135273655569,dendrite_extended,L5ET,Exc,11823
864691134886037498,dendrite_clean,PTC,Inh,9841
864691136175901190,dendrite_extended,L6short-a,Exc,2666
