pt_root_id,strategy_axon,cell_type,in_column,curr_num_syn,prev_num_syn,shared_syns
864691136445280131,axon_partially_extended,L2a,True,310.0,310.0,310.0
864691135848030814,axon_interareal,L3b,False,528.0,528.0,528.0
864691135342597809,axon_partially_extended,L2b,True,83.0,83.0,83.0
864691135510267401,axon_partially_extended,L6tall-c,True,105.0,105.0,98.0
864691135927647956,axon_interareal,L3b,False,307.0,307.0,307.0
864691135576872222,axon_partially_extended,L4a,True,684.0,684.0,684.0
864691135572082925,axon_fully_extended,DTC,True,9483.0,9483.0,9469.0
864691135942730612,axon_partially_extended,L6tall-c,True,352.0,352.0,351.0
864691135342585541,axon_partially_extended,L4b,False,1024.0,1024.0,1024.0
864691136363275746,axon_partially_extended,L4a,True,239.0,239.0,239.0
864691136390601335,axon_partially_extended,L6short-b,True,20.0,7.0,7.0
864691136742623580,axon_partially_extended,L6short-a,True,418.0,417.0,417.0
864691135469060236,axon_partially_extended,L2c,True,447.0,447.0,446.0
864691136452920319,axon_partially_extended,PTC,False,2563.0,2563.0,2561.0
864691135503443549,axon_partially_extended,L4b,False,684.0,684.0,684.0
864691136085781356,axon_partially_extended,L4b,True,513.0,513.0,513.0
864691135939268661,axon_partially_extended,L3b,False,1477.0,1477.0,1477.0
864691135763362102,axon_partially_extended,L4c,True,464.0,464.0,464.0
864691135941112486,axon_partially_extended,L4a,True,923.0,923.0,923.0
864691135565770007,axon_partially_extended,DTC,True,542.0,542.0,539.0
864691136725071101,axon_partially_extended,L4b,True,345.0,345.0,344.0
864691135164283693,axon_partially_extended,L4c,True,1430.0,1447.0,1413.0
864691135868386070,axon_partially_extended,L4b,True,681.0,681.0,681.0
864691136040742142,axon_partially_extended,PTC,True,5401.0,5401.0,5397.0
864691135342541509,axon_partially_extended,L4b,True,661.0,661.0,660.0
864691136489080850,axon_partially_extended,L4b,False,296.0,296.0,296.0
864691136372012168,axon_partially_extended,L6tall-b,True,104.0,104.0,103.0
864691135519178378,axon_partially_extended,L6tall-a,True,283.0,283.0,283.0
864691135519105930,axon_partially_extended,L3a,True,566.0,566.0,566.0
864691135867826966,axon_partially_extended,PTC,True,2294.0,2294.0,2289.0
864691135810905036,axon_partially_extended,L4a,False,750.0,750.0,749.0
864691136040977662,axon_fully_extended,L5a,True,735.0,735.0,732.0
864691135777479597,axon_partially_extended,L3a,True,364.0,364.0,364.0
864691136311106650,axon_partially_extended,L5a,False,1151.0,1151.0,1151.0
864691135953985800,axon_interareal,L3b,False,394.0,394.0,394.0
864691135124146727,axon_partially_extended,L6short-a,True,187.0,187.0,186.0
864691135694246079,axon_partially_extended,L3b,True,314.0,314.0,314.0
864691136110303416,axon_partially_extended,L4c,True,333.0,333.0,330.0
864691136010639022,axon_partially_extended,L4a,False,1042.0,1042.0,1042.0
864691135566237527,axon_fully_extended,L2a,True,906.0,906.0,904.0
864691135852344775,axon_partially_extended,L4b,True,250.0,250.0,250.0
864691136619882637,axon_partially_extended,L5a,False,443.0,443.0,443.0
864691135801566306,axon_partially_extended,L2b,True,488.0,488.0,485.0
864691135782506832,axon_partially_extended,L4b,True,689.0,689.0,686.0
864691135336108265,axon_partially_extended,L4b,True,360.0,360.0,360.0
864691135685980087,axon_partially_extended,DTC,True,185.0,185.0,183.0
864691136090632503,axon_partially_extended,L5ET,False,744.0,744.0,744.0
864691135586527612,axon_partially_extended,L2c,True,200.0,200.0,200.0
864691135701896315,axon_partially_extended,L2c,True,124.0,124.0,123.0
864691136523118481,axon_partially_extended,L4a,False,775.0,775.0,774.0
864691135546666792,axon_partially_extended,L2b,True,232.0,232.0,232.0
864691136092725684,axon_partially_extended,L3b,False,1067.0,1067.0,1066.0
864691135293398284,axon_partially_extended,DTC,True,290.0,290.0,284.0
864691135778331232,axon_partially_extended,L6short-a,True,438.0,438.0,438.0
864691136021797624,axon_partially_extended,L3b,True,364.0,364.0,363.0
